"x1","x2","x3","x4","x5","Tr","y"
0,1,0,12.886569089925,1.46080452432412,0,-3
0,1,3,3.68332580650733,0.395807614314574,0,0
1,0,1,16.5352474449007,1.0461048880462,0,3
1,0,3,7.23479448093774,3.65399197612239,0,5
0,0,2,2.56214125905236,2.44280572649786,0,2
0,0,1,12.8828798253487,-0.790080725825181,0,1
1,0,3,-1.96210234855108,4.38350041093736,0,5
1,1,3,3.9871220916129,2.37241820767114,0,2
1,0,1,-17.2995449037644,5.23650744514105,0,3
1,1,0,1.07098256854623,-1.87954492608738,0,-1
0,1,2,10.0219816799335,4.2876730045191,0,-1
0,0,0,13.5474834782514,1.75554470304044,0,0
1,1,3,8.10389811024524,4.93087962529025,0,2
0,1,3,12.0137205823675,0.328975532246826,0,0
1,1,0,-9.09957274935763,1.40971017140982,0,-1
1,1,1,-1.95296153800543,-0.385777927551452,0,0
1,0,1,-4.09866326689549,0.265191648796169,0,3
1,1,0,-2.04507805723842,0.714678574272867,0,-1
1,0,0,8.12068594584159,5.37751974760112,0,2
0,0,3,1.9460183898855,1.26238113240612,0,3
1,0,0,-16.8757970695977,3.19980974757929,0,2
1,0,3,-1.57114225200593,3.03273027188816,0,5
1,0,3,7.88363831721092,1.84620130470588,0,5
1,1,0,-12.244963352532,1.59395076032039,0,-1
1,1,0,7.27541927837882,0.802023258055321,0,-1
1,1,3,23.9886094220551,1.08468052123308,0,2
0,0,1,-9.0184271931974,0.821641548632805,0,1
0,0,3,-7.37291782535648,5.30164681273497,0,3
1,0,3,4.35930085477906,1.80561552231967,0,5
0,1,2,-4.45763065135905,4.12237212726681,0,-1
1,0,3,-0.199706863286416,-1.14807946563352,0,5
1,0,4,6.56882002423194,2.16862402738018,0,6
0,1,3,18.0313577850595,2.33670380038164,0,0
1,0,4,-4.03335366006975,0.808314966038107,0,6
1,0,0,2.36976739360099,2.45259940085748,0,2
1,0,4,11.8887036037259,2.44369928356222,0,6
1,1,0,7.80983140504463,2.09817627028614,0,-1
0,0,0,-10.1722067355228,-1.18125191912888,0,0
0,0,0,-10.3303617930639,2.96623371051401,0,0
1,0,0,9.00686298046915,1.64002644944455,0,2
0,1,0,-0.453686417173159,1.4217807895715,0,-3
1,0,0,-17.5617791772601,2.35388874676924,0,2
1,1,0,-19.2489638097436,-1.83187747988822,0,-1
1,1,2,-0.972309930171839,6.12311062935043,0,1
0,0,0,10.63336657613,-1.9074689782979,0,0
1,0,2,-4.2024068084003,1.52720957118989,0,4
0,0,0,3.12885714002788,-1.33441532835533,0,0
0,1,2,-7.72416177423374,0.917649083965458,0,-1
1,1,0,11.8110771242073,1.92868104334631,0,-1
0,0,3,1.9234199201569,2.403885089618,0,3
1,0,0,5.57486022180555,3.43012013529577,0,2
1,0,0,8.77528144159558,3.50719108711123,0,2
1,0,0,0.970043780231421,1.38703463085908,0,2
0,1,0,10.1673329649201,1.37378567475966,0,-3
1,1,0,-5.2721529349879,1.69754574833534,0,-1
1,1,0,6.46909198285032,4.08445369357157,0,-1
1,1,3,6.14889934797418,3.07629662821876,0,2
1,0,1,12.9748794132578,4.39408325039471,0,3
1,1,0,19.61235028226,1.69764439184759,0,-1
1,0,0,2.35837607159568,1.78574481473551,0,2
1,1,1,12.6424255128001,2.47120671723175,0,0
1,0,0,5.75903895020004,4.543769203748,0,2
0,1,3,9.29913325557504,-0.0326492247135484,0,0
1,0,3,-11.6303260033331,4.85999942878925,0,5
0,1,3,0.519712828030961,4.36297630012132,0,0
1,1,1,5.69026215685479,3.55488941609975,0,0
0,0,1,-7.22392383362022,2.03520211229043,0,1
0,1,4,1.74276784892131,6.18536862833636,0,1
1,1,0,5.82745642505868,3.11056008976168,0,-1
0,1,2,-10.1524760533331,3.5171858400277,0,-1
1,1,0,-3.47599833716547,0.188590976472707,0,-1
1,1,3,-13.8322249164888,1.56696306463798,0,2
1,0,0,14.1887576960533,5.31107713909113,0,2
0,1,0,19.6983767183966,3.41589627258924,0,-3
0,0,0,-9.33002752568162,0.786044900719087,0,0
1,0,3,8.02213495748131,1.22437503008771,0,5
1,1,0,2.40825187449508,0.538672594590597,0,-1
1,0,0,5.71894045280709,4.47112560281683,0,2
0,0,1,1.84282656116806,1.49689656243732,0,1
